kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mult.1.sm_30.ptx 142 : 4096 27200 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 141 : 4096 26272 0 0 0 256 128 0 0 
mult.1.sm_30.ptx 140 : 4096 45856 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 139 : 4096 46272 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 138 : 4096 36768 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 137 : 4096 52480 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 136 : 4096 51360 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 135 : 4096 28864 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 134 : 4096 49632 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 133 : 4096 28800 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 130 : 16384 86208 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 129 : 16384 144064 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 128 : 16384 178720 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 127 : 16384 173824 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 126 : 16384 175680 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 125 : 16384 104032 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 124 : 16384 125600 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 123 : 16384 516448 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 122 : 16384 514944 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 121 : 16384 121632 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 120 : 16384 514880 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 119 : 16384 515104 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 118 : 16384 122976 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 117 : 16384 514784 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 116 : 16384 513984 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 115 : 16384 121504 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 114 : 16384 517120 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 69 : 16384 173088 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 68 : 16384 174848 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 65 : 4096 32352 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 64 : 4096 31744 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 63 : 4096 35904 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 62 : 4096 35520 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 61 : 4096 34848 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 60 : 4096 52224 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 59 : 4096 53344 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 58 : 4096 51296 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 57 : 4096 51456 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 56 : 4096 49408 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 55 : 4096 48384 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 54 : 4096 51200 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 53 : 4096 33504 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 52 : 4096 49952 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 51 : 4096 33120 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 50 : 4096 45088 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 38 : 4096 25056 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 37 : 4096 25152 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 36 : 4096 679520 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 35 : 4096 719584 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 70 : 16384 2733472 0 0 0 1024 512 0 0 
mult.1.sm_30.ptx 33 : 4096 785184 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 112 : 16384 121216 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 71 : 16384 85696 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 34 : 4096 785472 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 113 : 16384 518528 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 39 : 4096 25376 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 40 : 4096 25504 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 41 : 4096 25344 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 42 : 4096 30528 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 43 : 4096 25184 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 44 : 4096 0 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 46 : 4096 25184 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 47 : 4096 25280 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 48 : 4096 29472 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 49 : 4096 25120 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 72 : 16384 165440 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 73 : 16384 166048 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 74 : 16384 4071776 0 0 0 1024 512 0 0 
mult.1.sm_30.ptx 75 : 16384 82880 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 76 : 16384 98400 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 77 : 16384 513856 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 78 : 16384 515328 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 79 : 16384 134336 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 80 : 16384 521760 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 81 : 16384 520640 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 82 : 16384 121440 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 83 : 16384 515648 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 84 : 16384 513056 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 85 : 16384 120512 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 86 : 16384 516384 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 87 : 16384 515904 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 88 : 16384 120800 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 89 : 16384 515680 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 90 : 16384 515808 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 91 : 16384 120512 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 92 : 16384 515328 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 93 : 16384 516352 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 94 : 16384 120320 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 95 : 16384 517696 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 96 : 16384 517056 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 97 : 16384 120288 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 98 : 16384 517088 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 99 : 16384 517600 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 100 : 16384 120704 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 101 : 16384 516032 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 102 : 16384 513760 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 103 : 16384 120288 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 104 : 16384 515168 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 105 : 16384 515520 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 106 : 16384 121216 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 107 : 16384 515744 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 108 : 16384 516384 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 109 : 16384 121408 0 0 0 0 0 0 0 
mult.1.sm_30.ptx 110 : 16384 518432 0 512 512 0 0 0 0 
mult.1.sm_30.ptx 111 : 16384 521024 0 512 512 0 0 0 0 
